Pais,Area,poblacion,Namerica,Samerica,Europe,Asia,Oceania,Africa,lat,longitud,Dia_inicio,PIB,Gasto_Salud,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37
Lebanon,10452.0,6825442.0,0, 0, 0, 1, 0, 0,33.8547,35.8623,30,58565.0,4.18,1,1,1,1,1,2,2,2,4,10,13,13,13,16,22,22,32,32,41,61,61,77,93,110,110,120,133,157,163,187,248,267,318,333,368,412
Malaysia,330803.0,32737760.0,0, 0, 0, 1, 0, 0,2.5,112.5,3,365303.0,1.92,3,4,4,4,7,8,8,8,8,8,10,12,12,12,16,16,18,18,18,19,19,22,22,22,22,22,22,22,22,22,22,22,22,23,23,29
Nepal,147181.0,29996478.0,0, 0, 0, 1, 0, 0,28.1667,84.25,3,29813.0,1.17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nigeria,923768.0,206139587.0,0, 0, 0, 0, 0, 1,9.082,8.6753,95,446543.0,0.47,1,1,2,3,3,7,10,10,10,18,27,27,74,98,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,8,8,22
Oman,309500.0,4664790.0,0, 0, 0, 1, 0, 0,21.0,57.0,33,76609.0,3.83,2,2,4,4,4,6,6,6,12,15,16,16,16,16,16,18,18,18,19,19,22,22,24,39,48,48,52,55,66,84,99,109,131,152,167,192
Philippines,300000.0,108486472.0,0, 0, 0, 1, 0, 0,13.0,122.0,8,356814.0,1.38,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5
Russia,17098246.0,146745098.0,0, 0, 1, 0, 0, 0,60.0,90.0,9,1637892.0,3.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,13
Singapore,716.0,5703600.0,0, 0, 0, 1, 0, 0,1.2833,103.8333,1,362818.0,2.44,1,3,3,4,5,7,7,10,13,16,18,18,24,28,28,30,33,40,45,47,50,58,67,72,75,77,81,84,84,85,85,89,89,91,93,93
Spain,505992.0,47100396.0,0, 0, 1, 0, 0, 0,40.0,-4.0,10,1397870.0,6.24,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,13,15,32,45,84,120,165,222,259,400,673
Sri Lanka,65610.0,21803000.0,0, 0, 0, 1, 0, 0,7.0,81.0,5,86566.0,1.68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sweden,450295.0,10333456.0,0, 0, 1, 0, 0, 0,63.0,16.0,9,528929.0,9.26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,12,14,15,21,35,94,161
Switzerland,41284.0,8586550.0,0, 0, 1, 0, 0, 0,46.8182,8.2275,34,715360.0,7.76,1,1,8,8,18,27,42,56,90,114,214,268,337,374,491,652,652,1139,1359,2200,2200,2700,3028,4075,5294,6575,7474,8795,9877,10897,11811,12928,14076,14829,15922,17768
Thailand,513120.0,66488605.0,0, 0, 0, 1, 0, 0,15.0,101.0,0,529177.0,2.9,2,3,5,7,8,8,14,14,14,19,19,19,19,25,25,25,25,32,32,32,33,33,33,33,33,34,35,35,35,35,35,35,35,35,37,40
United Arab Emirates,83600.0,9890400.0,0, 0, 0, 1, 0, 0,24.0,54.0,7,405771.0,2.55,4,4,4,4,5,5,5,5,5,5,7,7,8,8,8,8,8,8,9,9,9,9,9,9,13,13,13,13,13,13,19,21,21,21,27,29
United Kingdom,242495.0,66435550.0,0, 0, 1, 0, 0, 0,32.18262,-42.34011,9,2743586.0,7.53,2,2,2,2,2,2,2,3,3,3,8,8,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,15,20,23,36,40,51,86,116,207
US,9525067.0,329556365.0,1, 0, 0, 0, 0, 0,37.0902,-95.7129,0,21439453.0,14.32,1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,15,15,15,51,51,58
Vietnam,331212.0,96208984.0,0, 0, 0, 1, 0, 0,16.0,108.0,1,261637.0,2.68,2,2,2,2,2,2,2,2,2,6,6,8,8,8,10,10,13,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Dominica,751.0,71808.0,1, 0, 0, 0, 0, 0,15.415,-61.371,99,593.0,3.41,1,1,1,1,1,2,2,5,5,5,5,5,5,11,11,11,21,21,34,72,112,202,245,312,392,488,581,719,859,901,1109,1284,1380,1,2,7
