Pais Area poblacion Namerica Samerica Europe Asia Oceania Africa lat long Dia_inicio PIB Gasto_Salud 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
Kuwait 6880 2595628 0 0 0 1 0 0 29.5 47.75 33 137591.0 5.3 1 11 26 43 45 45 45 56 56 56 58 58 61 64 64 69 72 80 80 104 112 123 130 142 148 159 176 188 189 191 195 208 225 235
Lebanon 4015 4143101 0 0 0 1 0 0 33.8547 35.8623 30 58565.0 8.2 1 1 1 1 1 2 2 2 4 10 13 13 13 16 22 22 32 32 41 61 61 77 93 110 110 120 133 157 163 187 248 267 318 333
Malaysia 127316 28728607 0 0 0 1 0 0 2.5 112.5 3 365303.0 3.9 3 4 4 4 7 8 8 8 8 8 10 12 12 12 16 16 18 18 18 19 19 22 22 22 22 22 22 22 22 22 22 22 22 23
Nepal 54363 29391883 0 0 0 1 0 0 28.1667 84.25 3 29813.0 5.6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Netherlands 16033 16847007 0 0 1 0 0 0 23.715825 -49.197325 36 902355.0 10.1 1 1 6 10 18 24 38 82 128 188 265 321 382 503 503 806 962 1138 1416 1711 2058 2467 3003 3640 4217 4764 5580 6438 7468 8647 9819 10930 11817 12667
Niger 489189 16468886 0 0 0 0 0 1 9.082 8.6753 95 9443.0 3.8 1 1 2 3 3 7 10 10 10 18 27 27 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 8 8 12
NorthMacedonia 9781 2077328 0 0 1 0 0 0 41.6086 21.7453 35 12672.0 6.1 1 1 1 1 1 1 1 1 1 3 3 3 3 7 7 7 14 14 14 18 26 35 48 67 85 115 136 148 177 201 219 241 259 285
Norway 125181 4691849 0 0 1 0 0 0 60.472 8.4689 35 417627.0 10.4 1 1 6 15 19 25 32 56 87 108 147 176 205 400 598 702 996 1090 1221 1333 1463 1550 1746 1914 2118 2385 2621 2863 3084 3369 3755 4015 4284 4445
Oman 82031 3027959 0 0 0 1 0 0 21.0 57.0 33 76609.0 3.8 2 2 4 4 4 6 6 6 12 15 16 16 16 16 16 18 18 18 19 19 22 22 24 39 48 48 52 55 66 84 99 109 131 152
Pakistan 310401 187342721 0 0 0 1 0 0 30.3753 69.3451 35 284214.0 2.9 2 2 2 4 4 4 5 5 5 6 6 6 6 16 19 20 28 31 53 136 236 299 454 501 730 776 875 972 1063 1201 1373 1495 1597 1717
Philippines 115830 101833938 0 0 0 1 0 0 13.0 122.0 8 356814.0 4.4 1 1 1 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
Romania 91669 21904551 0 0 1 0 0 0 45.9432 24.9668 35 243698.0 5.2 1 1 3 3 3 3 3 4 6 9 9 15 15 25 45 49 89 123 131 158 184 260 277 308 367 433 576 794 906 1029 1292 1452 1815 2109
Russia 138739892 6592735 0 0 1 0 0 0 60.0 90.0 9 1637892.0 5.3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3
Singapore 267 4740737 0 0 0 1 0 0 1.2833 103.8333 1 362818.0 4.4 1 3 3 4 5 7 7 10 13 16 18 18 24 28 28 30 33 40 45 47 50 58 67 72 75 77 81 84 84 85 85 89 89 91
Spain 194896 46754784 0 0 1 0 0 0 40.0 -4.0 10 1397870.0 8.9 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 6 13 15 32 45 84 120 165 222 259
SriLanka 21283913 25332 0 0 0 1 0 0 7.0 81.0 5 86566.0 3.8 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Sweden 173731 9088728 0 0 1 0 0 0 63.0 16.0 9 528929.0 11.0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 7 7 12 14 15 21 35
Switzerland 15942 7639961 0 0 1 0 0 0 46.8182 8.2275 34 715360.0 12.3 1 1 8 8 18 27 42 56 90 114 214 268 337 374 491 652 652 1139 1359 2200 2200 2700 3028 4075 5294 6575 7474 8795 9877 10897 11811 12928 14076 14829
Thailand 198455 66720153 0 0 0 1 0 0 15.0 101.0 0 529177.0 3.7 2 3 5 7 8 8 14 14 14 19 19 19 19 25 25 25 25 32 32 32 33 33 33 33 33 34 35 35 35 35 35 35 35 35
UnitedArabEmirates 5148664 32000 0 0 0 1 0 0 24.0 54.0 7 405771.0 3.3 4 4 4 4 5 5 5 5 5 5 7 7 8 8 8 8 8 8 9 9 9 9 9 9 13 13 13 13 13 13 19 21 21 21
UnitedKingdom 62698362 94525 0 0 1 0 0 0 32.18262 -42.34011 9 2743586.0 9.6 2 2 2 2 2 2 2 3 3 3 8 8 9 9 9 9 9 9 9 9 9 9 9 9 13 13 13 15 20 23 36 40 51 86
US 313232044 3718691 1 0 0 0 0 0 37.0902 -95.7129 0 21439453.0 17.1 1 1 2 2 5 5 5 5 5 7 8 8 11 11 11 11 11 11 11 11 12 12 13 13 13 13 13 13 13 13 15 15 15 51
