Pais,Superficie,Poblacion,Namerica,Samerica,Europa,Asia,Oceania,Africa,PIB,Porcentaje de PIB en salud
Ireland,70273.0,4921500.0,0, 0, 1, 0, 0, 0,384940.0,5.27
Israel,20770.0,9180000.0,0, 0, 0, 1, 0, 0,387717.0,4.76
Italy,301339.0,60243406.0,0, 0, 1, 0, 0, 0,1988636.0,6.54
Jamaica,10991.0,2726667.0,1, 0, 0, 0, 0, 0,15702.0,3.68
Japan,377975.0,125950000.0,0, 0, 0, 1, 0, 0,5154475.0,9.18
Jordan,89342.0,10649396.0,0, 0, 0, 1, 0, 0,44172.0,3.46
Kazakhstan,2724900.0,18674472.0,0, 0, 0, 1, 0, 0,170326.0,2.07
Kenya,580367.0,47564296.0,0, 0, 0, 0, 0, 1,98607.0,1.65
Korea South,100210.0,51780579.0,0, 0, 0, 1, 0, 0,1629532.0,2.99
Kuwait,17818.0,4420110.0,0, 0, 0, 1, 0, 0,137591.0,3.27
Kyrgyzstan,199951.0,6533500.0,0, 0, 0, 1, 0, 0,8261.0,2.59
Latvia,64559.0,1906800.0,0, 0, 1, 0, 0, 0,35045.0,3.37
Lebanon,10452.0,6825442.0,0, 0, 0, 1, 0, 0,58565.0,4.18
Liberia,111369.0,4475353.0,0, 0, 0, 0, 0, 1,3221.0,1.37
Lithuania,65300.0,2793471.0,0, 0, 1, 0, 0, 0,53641.0,4.53
Luxembourg,2586.0,613894.0,0, 0, 1, 0, 0, 0,69453.0,4.54
Madagascar,587041.0,26251309.0,0, 0, 0, 0, 0, 1,12550.0,2.86
Malaysia,330803.0,32737760.0,0, 0, 0, 1, 0, 0,365303.0,1.92
Maldives,300.0,374775.0,0, 0, 0, 1, 0, 0,5786.0,7.7
Malta,316.0,493559.0,0, 0, 1, 0, 0, 0,14859.0,5.87
Mauritania,1030700.0,4077347.0,0, 0, 0, 0, 0, 1,5651.0,1.55
Mauritius,2040.0,1265985.0,0, 0, 0, 0, 0, 1,14391.0,2.53
Mexico,1964375.0,126577691.0,1, 0, 0, 0, 0, 0,1274175.0,2.81
Moldova,33846.0,2681735.0,0, 0, 1, 0, 0, 0,11688.0,4.38
Monaco,2.02,38300.0,0, 0, 1, 0, 0, 0,6400.0,1.39
Mongolia,1564110.0,3310591.0,0, 0, 0, 1, 0, 0,13637.0,2.16
Montenegro,13812.0,622359.0,0, 0, 1, 0, 0, 0,5424.0,5.73
Morocco,446550.0,35856703.0,0, 0, 0, 0, 0, 1,119040.0,2.74
Namibia,825615.0,2458936.0,0, 0, 0, 0, 0, 1,14368.0,5.65
Nepal,147181.0,29996478.0,0, 0, 0, 1, 0, 0,29813.0,1.17
Netherlands,41850.0,17451031.0,0, 0, 1, 0, 0, 0,902355.0,8.16
New Zealand,270467.0,4974995.0,0, 0, 0, 0, 1, 0,204671.0,7.4
Nicaragua,130373.0,6460411.0,1, 0, 0, 0, 0, 0,12528.0,5.37
Niger,1267000.0,22314743.0,0, 0, 0, 0, 0, 1,9443.0,1.51
Nigeria,923768.0,206139587.0,0, 0, 0, 0, 0, 1,446543.0,0.47
North Macedonia,25713.0,2077132.0,0, 0, 1, 0, 0, 0,12672.0,4.03
Norway,323802.0,5367580.0,0, 0, 1, 0, 0, 0,417627.0,8.7
Oman,309500.0,4664790.0,0, 0, 0, 1, 0, 0,76609.0,3.83
Pakistan,907132.0,219148520.0,0, 0, 0, 1, 0, 0,284214.0,0.77
Panama,75417.0,4218808.0,1, 0, 0, 0, 0, 0,68536.0,4.76
Papua New Guinea,462840.0,8935000.0,0, 0, 0, 0, 1, 0,23587.0,1.38
Paraguay,406752.0,7152703.0,0, 1, 0, 0, 0, 0,40714.0,4.14
Peru,1285216.0,32131400.0,0, 1, 0, 0, 0, 0,228989.0,3.3
Philippines,300000.0,108486472.0,0, 0, 0, 1, 0, 0,356814.0,1.38
Poland,312696.0,38379000.0,0, 0, 1, 0, 0, 0,565854.0,4.51
Portugal,92090.0,10276617.0,0, 0, 1, 0, 0, 0,236408.0,6.05
Qatar,11586.0,2747282.0,0, 0, 0, 1, 0, 0,191849.0,2.51
Romania,238397.0,19405156.0,0, 0, 1, 0, 0, 0,243698.0,3.89
Russia,17098246.0,146745098.0,0, 0, 1, 0, 0, 0,1637892.0,3.0
Rwanda,26338.0,12374397.0,0, 0, 0, 0, 0, 1,10209.0,2.29
Saint Lucia,616.0,178696.0,1, 0, 0, 0, 0, 0,1992.0,2.23
Saint Vincent and the Grenadines,389.0,110608.0,1, 0, 0, 0, 0, 0,813.0,2.73
San Marino,61.0,33574.0,0, 0, 1, 0, 0, 0,1591.0,5.14
Saudi Arabia,2149690.0,34218169.0,0, 0, 0, 1, 0, 0,779289.0,3.89
Senegal,196722.0,16209125.0,0, 0, 0, 0, 0, 1,23940.0,1.91
Serbia,88361.0,6963764.0,0, 0, 1, 0, 0, 0,51523.0,5.3
Seychelles,452.0,97625.0,0, 0, 0, 0, 0, 1,1644.0,3.78
Singapore,716.0,5703600.0,0, 0, 0, 1, 0, 0,362818.0,2.44
Slovakia,49037.0,5456362.0,0, 0, 1, 0, 0, 0,106552.0,5.39
Slovenia,20273.0,2094060.0,0, 0, 1, 0, 0, 0,54154.0,5.8
Somalia,637657.0,15893219.0,0, 0, 0, 0, 0, 1,4958.0,1.26
South Africa,1221037.0,58775022.0,0, 0, 0, 0, 0, 1,358839.0,3.47
Spain,505992.0,47100396.0,0, 0, 1, 0, 0, 0,1397870.0,6.24
Sri Lanka,65610.0,21803000.0,0, 0, 0, 1, 0, 0,86566.0,1.68
Sudan,1861484.0,42393140.0,0, 0, 0, 0, 0, 1,30873.0,1.1
Suriname,163820.0,581372.0,0, 1, 0, 0, 0, 0,3774.0,4.21
Sweden,450295.0,10333456.0,0, 0, 1, 0, 0, 0,528929.0,9.26
Switzerland,41284.0,8586550.0,0, 0, 1, 0, 0, 0,715360.0,7.76
Tanzania,945087.0,55890747.0,0, 0, 0, 0, 0, 1,62224.0,1.68
Thailand,513120.0,66488605.0,0, 0, 0, 1, 0, 0,529177.0,2.9
Togo,56785.0,7538000.0,0, 0, 0, 0, 0, 1,5502.0,1.33
Trinidad and Tobago,5130.0,1363985.0,1, 0, 0, 0, 0, 0,22607.0,3.44
Tunisia,163610.0,11722038.0,0, 0, 0, 0, 0, 1,38732.0,3.94
Turkey,783562.0,83154997.0,0, 0, 0, 1, 0, 0,743708.0,3.26
Uganda,241550.0,40299300.0,0, 0, 0, 0, 0, 1,30666.0,1.02
Ukraine,603500.0,41879904.0,0, 0, 1, 0, 0, 0,150401.0,2.85
United Arab Emirates,83600.0,9890400.0,0, 0, 0, 1, 0, 0,405771.0,2.55
United Kingdom,242495.0,66435550.0,0, 0, 1, 0, 0, 0,2743586.0,7.53
Uruguay,176215.0,3518552.0,0, 1, 0, 0, 0, 0,59918.0,6.5
US,9525067.0,329556365.0,1, 0, 0, 0, 0, 0,21439453.0,14.32
Uzbekistan,447400.0,34103739.0,0, 0, 0, 1, 0, 0,60490.0,2.92
